"simid","intervention","ida_per_contact","pia_per_contact","ida_random","pia_random","ida_diff","pia_diff","ida_ratio","pia_ratio","ida_pct_change","pia_pct_change"
8360,"network",99.7652233760237,0,47.2847456086379,0,52.4804777673858,0,2.10988178305434,NA,110.988178305434,NA
8363,"network",32.7503614887797,0,52.6130985535876,0,-19.862737064808,0,0.622475436519343,NA,-37.7524563480657,NA
8371,"network",62.8576777474783,0,22.6796720619398,0,40.1780056855385,0,2.77154262089017,NA,177.154262089017,NA
8375,"network",137.737637662485,0,733.581264657013,0,-595.843626994528,0,0.187760571730093,NA,-81.2239428269907,NA
8380,"network",0,0,0,0,0,0,NA,NA,NA,NA
8386,"network",22.5497666115434,0,11.744630294749,0,10.8051363167944,0,1.92000650898525,NA,92.0006508985247,NA
8397,"network",26.9188928086707,0,295.763913387316,0,-268.845020578645,0,0.0910147979189715,NA,-90.8985202081029,NA
8398,"network",0,0,0,0,0,0,NA,NA,NA,NA
8399,"network",35.1521617611756,0,35.1521617611756,0,0,0,1,NA,0,NA
8402,"network",254.057711723415,0,254.057711723415,0,0,0,1,NA,0,NA
8403,"network",0,0,642.79918880865,0,-642.79918880865,0,0,NA,-100,NA
8406,"network",103.740108321954,0.00757575757575758,0,0,103.740108321954,0.00757575757575758,NA,NA,NA,NA
8414,"network",11.7420186621,0,11.7420186621,0,0,0,1,NA,0,NA
8416,"network",179.978979808479,0,19.7716601176363,0,160.207319690843,0,9.10287647762759,NA,810.287647762759,NA
8421,"network",67.3981404337025,0,101.043217245797,0,-33.6450768120944,0,0.667022906344622,NA,-33.2977093655378,NA
8425,"network",116.504970167067,0,29.2054590843623,0,87.2995110827046,0,3.98915044720006,NA,298.915044720006,NA
8426,"network",78.8159725483587,0.00568181818181818,0,0,78.8159725483587,0.00568181818181818,NA,NA,NA,NA
8429,"network",123.395314092041,0,120.937606947982,0,2.45770714405958,0,1.02032210828445,NA,2.03221082844537,NA
8430,"network",0,0,0,0,0,0,NA,NA,NA,NA
8441,"network",96.2995289833287,0.00750507099391481,306.335195387046,0,-210.035666403718,0.00750507099391481,0.314359990080985,NA,-68.5640009919015,NA
8442,"network",99.8386035909712,0.0106060606060606,160.925331341792,0,-61.086727750821,0.0106060606060606,0.620403281189599,NA,-37.9596718810402,NA
8451,"network",60.5268266536627,0.00699300699300699,19.8414269360334,0,40.6853997176293,0.00699300699300699,3.05052791055777,NA,205.052791055777,NA
8471,"network",43.6421174075897,0.0053475935828877,3.25334865152948,0,40.3887687560602,0.0053475935828877,13.4145221069597,NA,1241.45221069597,NA
8472,"network",62.4435289915429,0,16.0859559743943,0,46.3575730171485,0,3.8818662124241,NA,288.18662124241,NA
8475,"network",55.6140017037189,0,0,0,55.6140017037189,0,NA,NA,NA,NA
8485,"network",80.4646278896616,0,80.4646278896616,0,0,0,1,NA,0,NA
8493,"network",86.8840344921838,0,528.422212717072,0,-441.538178224888,0,0.164421616656572,NA,-83.5578383343428,NA
8496,"network",141.112759108235,0,215.44759005709,0,-74.3348309488546,0,0.654974878441866,NA,-34.5025121558134,NA
8501,"network",14.207874470565,0,0,0,14.207874470565,0,NA,NA,NA,NA
8502,"network",144.558245967833,0.0328968253968254,89.7578896772294,0,54.8003562906033,0.0328968253968254,1.610535257543,NA,61.0535257542998,NA
8503,"network",108.948112682943,0.00446428571428571,123.983478888981,0,-15.0353662060379,0.00446428571428571,0.878730889463901,NA,-12.1269110536099,NA
8513,"network",3.24148908830156,0,0,0,3.24148908830156,0,NA,NA,NA,NA
8515,"network",28.8155145707704,0,0,0,28.8155145707704,0,NA,NA,NA,NA
8518,"network",226.724470652474,0,24.4728413077221,0,202.251629344752,0,9.26432970334893,NA,826.432970334893,NA
8521,"network",175.897796900613,0.0025974025974026,0,0,175.897796900613,0.0025974025974026,NA,NA,NA,NA
8522,"network",105.439552459376,0,273.240064970902,0,-167.800512511526,0,0.385886134489847,NA,-61.4113865510153,NA
8529,"network",32.6393921042741,0,0,0,32.6393921042741,0,NA,NA,NA,NA
8536,"network",121.573733342139,0.00588048315321043,0,0,121.573733342139,0.00588048315321043,NA,NA,NA,NA
8537,"network",110.643939514958,0.00714285714285714,1097.73035882967,0,-987.086419314712,0.00714285714285714,0.100793367537835,NA,-89.9206632462165,NA
8552,"network",0,0,0,0,0,0,NA,NA,NA,NA
8554,"network",63.4227283812727,0,256.96713865096,0,-193.544410269687,0,0.246812603020887,NA,-75.3187396979113,NA
8558,"network",159.218429583646,0,214.253223190457,0,-55.0347936068118,0,0.743132015531503,NA,-25.6867984468497,NA
8559,"network",71.8899659585463,0.04,123.51625643585,0.1,-51.6262904773038,-0.06,0.582028374506989,0.4,-41.7971625493011,-60
8564,"network",142.180539488381,0,1473.69825644161,0,-1331.51771695323,0,0.0964787322417613,NA,-90.3521267758239,NA
8568,"network",117.100081697207,0,708.561500441043,0,-591.461418743836,0,0.165264527672359,NA,-83.4735472327641,NA
8570,"network",29.2801383217749,0,99.9161614389344,0,-70.6360231171595,0,0.2930470696642,NA,-70.69529303358,NA
8573,"network",54.6288802769658,0.00854700854700855,0,0,54.6288802769658,0.00854700854700855,NA,NA,NA,NA
8581,"network",0,0,1819.53047449207,0,-1819.53047449207,0,0,NA,-100,NA
8585,"network",53.1014010291827,0,35.2231046765567,0,17.8782963526261,0,1.50757298417607,NA,50.7572984176073,NA
8588,"network",0,0,0,0,0,0,NA,NA,NA,NA
8595,"network",129.988783041896,0.0189393939393939,35.2531030964524,0.0833333333333333,94.7356799454431,-0.0643939393939394,3.68730045370039,0.227272727272727,268.730045370039,-77.2727272727273
8596,"network",81.3245255953354,0.00396825396825397,62.8938689884518,0,18.4306566068837,0.00396825396825397,1.29304377204506,NA,29.3043772045059,NA
8601,"network",107.759653868057,0.0119047619047619,117.076631013427,0,-9.31697714536953,0.0119047619047619,0.920419839000141,NA,-7.95801609998587,NA
8603,"network",45.5100070907732,0,146.097687648357,0,-100.587680557583,0,0.311503952070148,NA,-68.8496047929851,NA
8608,"network",57.2101693577494,0.00529100529100529,120.361519464666,0.0476190476190476,-63.1513501069163,-0.0423280423280423,0.475319434418942,0.111111111111111,-52.4680565581058,-88.8888888888889
8629,"network",64.6741674025982,0,10.1513447420652,0,54.522822660533,0,6.37099507955837,NA,537.099507955837,NA
8634,"network",125.158378528528,0,3.54767121125158,0,121.610707317276,0,35.2790242037038,NA,3427.90242037038,NA
8641,"network",190.228642172086,0,445.150038579981,0,-254.921396407895,0,0.427336011873461,NA,-57.2663988126539,NA
8644,"network",73.4806693172176,0.012987012987013,70.7607180151516,0,2.71995130206606,0.012987012987013,1.03843871823748,NA,3.84387182374783,NA
8645,"network",56.6964269990922,0,113.392853998184,0,-56.6964269990922,0,0.5,NA,-50,NA
8647,"network",212.827991680092,0,338.481178190284,0,-125.653186510192,0,0.628773489911591,NA,-37.1226510088409,NA
8653,"network",137.044529462603,0.00570719602977668,161.574914877197,0,-24.5303854145938,0.00570719602977668,0.848179493498494,NA,-15.1820506501506,NA
8655,"network",40.0491399029339,0.0197278911564626,0,0.0714285714285714,40.0491399029339,-0.0517006802721088,NA,0.276190476190476,NA,-72.3809523809524
8658,"network",156.67407829126,0.0131302521008403,65.3482095305475,0,91.3258687607127,0.0131302521008403,2.39752671751506,NA,139.752671751506,NA
8671,"network",60.0790999908291,0.00490196078431373,209.362178937764,0,-149.283078946935,0.00490196078431373,0.286962527308662,NA,-71.3037472691338,NA
8679,"network",123.758121007519,0,201.994965824945,0,-78.2368448174256,0,0.612679234366523,NA,-38.7320765633477,NA
8680,"network",103.283391403051,0,45.1375592067833,0,58.1458321962678,0,2.28819176796626,NA,128.819176796626,NA
8682,"network",82.6061895732576,0,110.472000120695,0,-27.8658105474374,0,0.747756802474899,NA,-25.2243197525101,NA
8684,"network",21.173706995521,0,63.5211209865631,0,-42.3474139910421,0,0.333333333333333,NA,-66.6666666666667,NA
8687,"network",84.0608969015791,0.00666666666666667,0,0,84.0608969015791,0.00666666666666667,NA,NA,NA,NA
8688,"network",125.062044385909,0.0111111111111111,322.979932166727,0,-197.917887780818,0.0111111111111111,0.387213049265706,NA,-61.2786950734294,NA
8693,"network",89.3461411985378,0,10.2504896888476,0,79.0956515096902,0,8.71628028617452,NA,771.628028617452,NA
8694,"network",54.6495914492176,0,101.704147293806,0,-47.0545558445879,0,0.537338868702615,NA,-46.2661131297385,NA
8696,"network",92.4673480975633,0.03125,158.814383260976,0.0625,-66.3470351634131,-0.03125,0.582235350469571,0.5,-41.7764649530429,-50
8699,"network",117.862083730858,0.00230311200988653,101.50616225371,0,16.3559214771484,0.00230311200988653,1.16113230087714,NA,16.1132300877138,NA
8705,"network",97.6150964320311,0,41.946139497785,0,55.6689569342461,0,2.32715328754356,NA,132.715328754356,NA
8706,"network",70.7809980214694,0,0,0,70.7809980214694,0,NA,NA,NA,NA
8711,"network",25.9058960403754,0.0444677871148459,42.2613506554461,0.0947712418300654,-16.3554546150707,-0.0503034547152194,0.612992619464163,0.469211822660098,-38.7007380535837,-53.0788177339901
8712,"network",48.3055045856994,0.0025062656641604,2.85580444712165,0,45.4497001385777,0.0025062656641604,16.9148502567766,NA,1591.48502567766,NA
8714,"network",66.3291937642025,0.00769230769230769,48.2573533400895,0,18.0718404241131,0.00769230769230769,1.37448884311482,NA,37.4488843114818,NA
8716,"network",43.0427464089886,0,0,0,43.0427464089886,0,NA,NA,NA,NA
8724,"network",38.1480917153483,0,0,0,38.1480917153483,0,NA,NA,NA,NA
8729,"network",77.6532087256287,0,77.2079982790838,0,0.44521044654492,0,1.00576637727267,NA,0.576637727267086,NA
8731,"network",48.8871915045284,0.0277777777777778,111.265664624283,0,-62.378473119755,0.0277777777777778,0.439373562990958,NA,-56.0626437009042,NA
8732,"network",121.907596014643,0,365.941172865868,0,-244.033576851225,0,0.333134408079648,NA,-66.6865591920352,NA
8747,"network",8.61450144712904,0,0,0,8.61450144712904,0,NA,NA,NA,NA
8749,"network",84.044800464568,0,109.680991426178,0,-25.6361909616096,0,0.766265871339571,NA,-23.3734128660429,NA
8759,"network",140.009405102141,0,1068.32658302901,0,-928.317177926872,0,0.131054873412561,NA,-86.8945126587439,NA
8764,"network",76.4105855226744,0.0118343195266272,122.915521362212,0,-46.5049358395374,0.0118343195266272,0.621651233919474,NA,-37.8348766080526,NA
8766,"network",8.27669149990804,0,63.8699387708063,0,-55.5932472708982,0,0.129586651548368,NA,-87.0413348451632,NA
8768,"network",76.0844256362813,0,76.0844256362813,0,0,0,1,NA,0,NA
8769,"network",129.050745649009,0,279.870110816508,0,-150.819365167498,0,0.46110942419864,NA,-53.889057580136,NA
