donor,recipient,distance,timetransmission,contacttype,simid
0.1.2.5.2.1,0.1.2.5.2.1.1,0.006,6452.615969425898,G,84
0.1.2.5.2.3,0.1.2.5.2.3.1,0.004,6402.070767079472,G,84
0.1.2.5.2.3,0.1.2.5.2.3.2,0.002,6893.053660900988,G,84
0.1.3.1.1.1,0.1.3.1.1.1.1,0.009,6231.320657238941,F,84
0.1.3.1.1.1,0.1.3.1.1.1.2,0.002,6675.413140573194,F,84
0,0.1,0.004,164.59465072374476,G,87
0,0.2,0.022,250.40259547784032,H,87
0,0.3,0.004,1685.6923590355836,H,87
0,0.1,0.005,696.0310630765641,G,90
0,0.1,0.001,767.3712663554633,G,91
0,0.1,0.005,195.93282175571102,G,94
0.1,0.1.1,0.001,740.0554671793642,G,94
0.1,0.1.2,0.008,915.5437294417567,G,94
0,0.1,0.0,805.542656808923,F,95
0,0.1,0.003,128.95658796761927,G,97
0.1,0.1.1,0.003,406.63518898752386,G,97
0,0.1,0.016,182.25060128460595,G,100
0,0.2,0.013,261.4141265905446,F,100
0,0.3,0.016,493.06089898300996,G,100
0,0.4,0.005,1600.5641699525695,F,100
0,0.5,0.014,2284.2163759977925,G,100
0,0.6,0.005,2444.159865422827,F,100
0.1,0.1.1,0.003,185.03672934341947,F,100
0.1,0.1.2,0.005,447.24091006159745,G,100
0.1,0.1.3,0.001,980.9724008550158,G,100
0.3,0.3.1,0.002,1562.953612859652,F,100
0.3,0.3.2,0.002,2090.327069850488,F,100
0.4,0.4.1,0.005,2005.0782731894599,F,100
0.1.1,0.1.1.1,0.007,332.01210442461974,F,100
0.1.1,0.1.1.2,0.013,872.6626073914383,F,100
0.1.1,0.1.1.3,0.001,1355.0492351260968,F,100
0.1.2,0.1.2.1,Inf,1045.6576791886446,F,100
0.1.2,0.1.2.2,Inf,1215.987846223272,G,100
0.3.1,0.3.1.1,0.001,1659.843830439745,G,100
0.3.1,0.3.1.2,0.011,1825.7825571152352,G,100
0.3.1,0.3.1.3,0.001,1891.0599022124966,H,100
0.1.1.2,0.1.1.2.1,Inf,991.1133100615082,F,100
0.1.1.2,0.1.1.2.2,0.023,1799.9359866630546,F,100
0.1.1.3,0.1.1.3.1,0.0,1625.5863498427407,F,100
0.1.2.1,0.1.2.1.1,Inf,3158.291452377782,G,100
0.3.1.1,0.3.1.1.1,0.001,2106.3155723766126,G,100
0.3.1.2,0.3.1.2.1,0.009,2759.21868632445,G,100
0.3.1.1.1,0.3.1.1.1.1,0.006,2204.660865570319,G,100
0.3.1.2.1,0.3.1.2.1.1,0.009,2842.5733992269934,G,100
0.3.1.2.1,0.3.1.2.1.2,0.004,4566.1114977034085,G,100
0.3.1.2.1.1,0.3.1.2.1.1.1,0.002,3175.082937651327,G,100
0.3.1.2.1.1,0.3.1.2.1.1.2,Inf,3213.7206736110716,G,100
0.3.1.2.1.1,0.3.1.2.1.1.3,0.004,3229.1714066091963,F,100
0.3.1.2.1.2,0.3.1.2.1.2.1,0.008,4636.586757714098,F,100
0,0.1,0.005,78.65964791125344,G,102
0,0.2,0.001,766.9355026893969,G,102
0,0.1,0.002,2578.6045954358115,G,104
0,0.1,0.005,420.0020613670309,G,105
0,0.1,0.004,6.34318770292163,G,107
0,0.2,0.003,85.6131718697806,G,107
0,0.3,0.003,783.7612222303952,G,107
0.1,0.1.1,0.007,140.46273383616594,G,107
0.2,0.2.1,0.0,338.98368510052853,G,107
0.3,0.3.1,0.001,1297.191708183216,G,107
0,0.1,0.007,223.78560781974386,F,108
0,0.1,0.002,309.6403930924731,G,109
0,0.2,0.0,807.7858734777063,F,109
0.2,0.2.1,0.004,964.2768521936098,G,109
0,0.1,0.005,75.12015187137746,G,111
0,0.1,0.0,55.89972995428297,F,116
0,0.1,0.005,19.18670551973205,G,119
0,0.2,0.005,2237.5653398783843,G,119
0,0.1,Inf,33.372694949441794,G,120
0.1,0.1.1,0.004,2046.0969863076589,F,120
0,0.1,0.001,10.034850848302206,F,122
0,0.2,Inf,32.036563750622776,G,122
0.1,0.1.1,0.005,393.6110065220772,F,122
0,0.1,0.01,72.559016299162,F,123
0,0.2,0.002,445.1380592536407,F,123
0.1,0.1.1,0.008,143.91936433280912,F,123
0.1,0.1.2,Inf,423.2212906664241,F,123
0.1,0.1.3,0.013,852.0985870404752,F,123
0.2,0.2.1,0.003,465.70007990009594,G,123
0.2,0.2.2,0.001,519.5589988272684,G,123
0.2,0.2.3,0.01,1026.7197207073782,F,123
0.1.2,0.1.2.1,Inf,828.575791554462,G,123
0.1.2,0.1.2.2,Inf,1478.3898418955353,G,123
0.1.2,0.1.2.3,Inf,2340.398113537807,G,123
0.1.3,0.1.3.1,0.007,1464.8854788009303,F,123
0.2.2,0.2.2.1,0.001,689.1001673300792,G,123
0.2.3,0.2.3.1,0.012,1509.4296991384474,F,123
0.2.3,0.2.3.2,Inf,1736.0567730825169,F,123
0.2.3,0.2.3.3,0.007,3120.876017481184,F,123
0.2.3,0.2.3.4,0.005,3298.6614724398564,F,123
0,0.1,0.006,401.0441060459507,G,125
0.1,0.1.1,0.006,1208.2597983036362,F,125
0,0.1,0.006,247.3483468148814,G,127
0,0.2,0.005,530.0911741143773,G,127
0,0.3,0.005,721.747550661521,F,127
0,0.4,0.01,944.0258207459175,G,127
0.3,0.3.1,0.004,961.5447917786935,F,127
0.4,0.4.1,0.008,2741.3752868340434,G,127
0,0.1,0.009,416.2921121617044,G,128
0,0.1,0.014,2130.2127562962514,F,131
0,0.2,0.006,2869.1197440708875,G,131
0.2,0.2.1,0.002,3477.569522290336,G,131
0,0.1,0.012,1160.2965721765659,G,132
0,0.2,0.01,1661.9822841211974,G,132
0,0.3,0.008,2524.0549252896526,G,132
0.2,0.2.1,0.005,3355.792296890224,G,132
0.3,0.3.1,0.002,2596.945772950571,G,132
0.2.1,0.2.1.1,0.003,3725.549060627638,G,132
0.2.1.1,0.2.1.1.1,0.004,3890.9869229961396,G,132
0.2.1.1,0.2.1.1.2,0.007,4047.954095003954,F,132
0.2.1.1,0.2.1.1.3,0.004,4064.4522074652796,G,132
0.2.1.1,0.2.1.1.4,0.003,5431.8083519354705,G,132
0,0.1,0.011,96.03063719947373,G,135
0.1,0.1.1,0.004,187.06446917885162,G,135
0.1,0.1.2,0.003,252.6452185522808,G,135
0.1,0.1.3,0.002,256.9333211549925,G,135
0.1.1,0.1.1.1,0.003,220.63867433263647,F,135
0.1.1,0.1.1.2,0.001,457.1337961367081,F,135
0.1.2,0.1.2.1,0.003,1173.0340061734898,G,135
0.1.2.1,0.1.2.1.1,0.007,1191.0417093717558,F,135
0.1.2.1,0.1.2.1.2,0.002,1288.591137013435,F,135
0.1.2.1.1,0.1.2.1.1.1,0.021,1694.9476339483908,F,135
0.1.2.1.1,0.1.2.1.1.2,0.004,3004.9749100744502,G,135
0.1.2.1.2,0.1.2.1.2.1,0.005,1478.8306860686157,F,135
0.1.2.1.1.1,0.1.2.1.1.1.1,0.013,4413.20697759046,F,135
0.1.2.1.1.2,0.1.2.1.1.2.1,0.002,3052.0969654209202,G,135
0.1.2.1.1.2,0.1.2.1.1.2.2,0.002,3204.8430164208257,H,135
0,0.1,0.004,29.81357268703964,F,137
0,0.1,0.017,42.57745418674125,G,138
0,0.2,0.011,117.6678128224238,G,138
0,0.3,0.011,2465.6325953964188,G,138
0.1,0.1.1,0.005,190.37518968665603,G,138
0.1,0.1.2,0.015,2023.6540896097256,G,138
0.3,0.3.1,0.011,2508.5571600980948,G,138
0.3,0.3.2,0.008,2770.4013067244077,G,138
0.3,0.3.3,0.005,2823.058908097439,G,138
0.1.2,0.1.2.1,0.017,2216.591630329896,G,138
0.1.2,0.1.2.2,0.027,2337.9282452110656,F,138
0.1.2,0.1.2.3,0.012,3661.932962925597,G,138
0.1.2,0.1.2.4,0.008,6851.9019546180425,G,138
0.1.2,0.1.2.5,0.007,6974.621266191892,G,138
0.3.1,0.3.1.1,0.008,2698.554094913668,H,138
0.3.1,0.3.1.2,0.007,2811.906219113247,G,138
0.3.1,0.3.1.3,Inf,2913.9569570972844,H,138
0.3.1,0.3.1.4,0.006,3089.3065611703296,H,138
0.3.2,0.3.2.1,0.01,2957.4442092089275,G,138
0.3.2,0.3.2.2,0.004,3929.3344618386345,G,138
0.3.3,0.3.3.1,Inf,2851.34293939139,G,138
0.1.2.1,0.1.2.1.1,0.001,2247.6241781759454,G,138
0.1.2.2,0.1.2.2.1,0.001,2397.8131822534147,F,138
